id,code,stock_name,industry,market,operation,useropenid
195,SH.600688,上海石化,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
196,SH.600886,国投电力,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
197,SH.600894,广日股份,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
198,SH.600030,中信证券,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
199,SH.600392,盛和资源,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
200,SH.600438,通威股份,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
201,SZ.002407,多氟多,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
202,SZ.002202,金风科技,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
203,SZ.002262,恩华药业,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
204,SZ.002271,东方雨虹,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
205,SZ.002308,威创股份,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
206,SH.601012,隆基股份,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
207,SZ.002477,雏鹰农牧,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
208,SH.601818,光大银行,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
209,SZ.000166,申万宏源,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
210,SZ.002600,领益智造,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
211,SH.601985,中国核电,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
212,SH.603444,吉比特,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
213,SZ.000413,东旭光电,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
214,SZ.000620,新华联,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
215,SZ.000717,韶钢松山,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
216,SZ.000726,鲁泰A,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
217,SZ.000825,太钢不锈,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
218,SZ.000829,天音控股,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
219,SZ.000961,中南建设,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
220,SH.600518,康美药业,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
221,SH.600582,天地科技,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
222,SH.600588,用友网络,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
223,SH.600606,绿地控股,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
224,SH.600872,中炬高新,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
225,SH.600881,亚泰集团,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
226,SH.600522,中天科技,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
227,SH.600511,国药股份,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
228,SH.600031,三一重工,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
229,SH.600340,华夏幸福,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
230,SZ.002032,苏泊尔,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
231,SZ.002041,登海种业,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
232,SH.601001,大同煤业,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
233,SZ.002146,荣盛发展,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
234,SH.601006,大秦铁路,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
