,code,name,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days,year,quanter
1916,300145,中金环境,4.9854,72.2109,3.1744,113.4073,1.0588,340.0076,2015,4
1917,603822,嘉澳环保,16.038,22.4467,3.1721,113.4895,1.3965,257.7873,2015,4
1918,600090,同济堂,345.7176,1.0413,3.1717,113.5038,1.7479,205.9614,2015,4
1919,002765,蓝黛传动,3.1228,115.2812,3.1707,113.5396,1.0193,353.1836,2015,4
1920,002321,华英农业,12.9413,27.8179,3.1695,113.5826,0.6952,517.8366,2015,4
1921,600163,中闽能源,8.0708,44.6052,3.1682,113.6292,1.0059,357.8885,2015,4
1922,002215,诺普信,11.7416,30.6602,3.1658,113.7153,1.44,250.0,2015,4
1923,002847,盐津铺子,12.2023,29.5026,3.1639999999999997,113.78,3.1394,114.6716,2015,4
1924,002921,联诚精密,4.3358,83.0297,3.1632,113.8088,1.4328,251.2563,2015,4
1925,300374,恒通科技,1.3715,262.4863,3.1624,113.8376,0.7092,507.6142,2015,4
1926,000795,英洛华,3.6765,97.9192,3.1622,113.8448,0.9013,399.4231,2015,4
1927,600356,恒丰纸业,3.6532,98.5437,3.1604,113.9096,0.987,364.7416,2015,4
1928,300224,正海磁材,4.3088,83.5499,3.16,113.9241,0.7922,454.4307,2015,4
1929,600572,康恩贝,6.1807,58.2458,3.1529,114.1806,1.4837,242.6367,2015,4
1930,002134,天津普林,2.9939,120.2445,3.1523,114.2023,1.0559,340.9414,2015,4
1931,002643,万润股份,7.9479,45.295,3.1521,114.2096,1.2733,282.7299,2015,4
1932,002331,皖通科技,3.8549,93.3876,3.1510000000000002,114.2494,0.662,543.8066,2015,4
1933,600536,中国软件,3.4383,104.7029,3.1494,114.3075,0.9131,394.2613,2015,4
1934,300153,科泰电源,2.9569,121.7491,3.1472,114.3874,0.922,390.4555,2015,4
1935,002881,美格智能,4.1672,86.3889,3.1392,114.6789,1.5047,239.2503,2015,4
1936,300159,新研股份,2.6259,137.0959,3.1372,114.75200000000001,0.8025,448.5981,2015,4
1937,300057,万顺股份,3.7928,94.9167,3.1371,114.7557,1.0003,359.892,2015,4
1938,000790,泰合健康,1.6113,223.4221,3.1338,114.8765,0.7626,472.0692,2015,4
1939,002536,西泵股份,5.1338,70.1235,3.1315,114.9609,1.3891,259.1606,2015,4
1940,002860,星帅尔,3.8842,92.6832,3.1306,114.9939,1.1114,323.9158,2015,4
1941,300537,广信材料,2.0698,173.9298,3.1296,115.0307,0.9701,371.0958,2015,4
1942,002434,万里扬,3.4057,105.7051,3.1271,115.1226,0.6676,539.2451,2015,4
1943,603358,华达科技,6.6431,54.1916,3.1233,115.2627,1.9005,189.4238,2015,4
1944,600843,上工申贝,7.4061,48.6086,3.1229,115.2775,1.0849,331.8278,2015,4
1945,300421,力星股份,3.0592,117.6778,3.1226,115.2885,1.4065,255.9545,2015,4
1946,603021,山东华鹏,4.7721,75.4385,3.1221,115.307,1.5368,234.253,2015,4
1947,600475,华光股份,2.8836,124.8439,3.1118,115.6887,0.8817,408.3021,2015,4
1948,600876,洛阳玻璃,13.9268,25.8494,3.1089,115.7966,1.5435,233.2362,2015,4
1949,600531,豫光金铅,193.8183,1.8574,3.1083,115.8189,2.0327,177.1043,2015,4
1950,600390,五矿资本,3.2542,110.6263,3.1072,115.8599,1.2138,296.5892,2015,4
1951,002334,英威腾,3.9373,91.4332,3.1035,115.9981,0.7642,471.0809,2015,4
1952,002107,沃华医药,11.7583,30.6167,3.1022,116.0467,1.1999,300.025,2015,4
1953,000903,云内动力,5.2706,68.3034,3.0954,116.3016,0.7185,501.0438,2015,4
1954,603607,京华激光,3.4171,105.3525,3.091,116.4672,1.4543,247.5418,2015,4
1955,603203,快克股份,5.9512,60.492,3.0856,116.671,0.9674,372.1315,2015,4
1956,600298,安琪酵母,10.3173,34.8928,3.0823,116.7959,1.9736,182.4078,2015,4
1957,600579,天华院,1.2695,283.5762,3.0753,117.0618,0.723,497.9253,2015,4
1958,002676,顺威股份,3.7018,97.25,3.0751,117.0694,1.1534,312.1207,2015,4
1959,000632,三木集团,49.092,7.3332,3.0725,117.1684,1.1629,309.5709,2015,4
1960,002461,珠江啤酒,10.5697,34.0596,3.0722,117.1799,1.9831,181.53400000000002,2015,4
1961,300567,精测电子,2.8584,125.9446,3.0721,117.1837,1.3525,266.1738,2015,4
1962,002339,积成电子,1.5869,226.8574,3.0675,117.3594,0.7738,465.2365,2015,4
1963,603733,仙鹤股份,4.5505,79.1122,3.0671,117.3747,1.4240000000000002,252.80900000000003,2015,4
1964,300110,华仁药业,2.0355,176.8607,3.0655,117.436,0.9986,360.5047,2015,4
1965,300466,赛摩电气,0.9613,374.4929,3.0653,117.4436,0.5546,649.1165,2015,4
1966,603616,韩建河山,0.9786,367.8725,3.0631,117.52799999999999,0.6421,560.6603,2015,4
1967,000597,东北制药,5.3066,67.84,3.0627,117.5433,0.9545,377.1608,2015,4
1968,600312,平高电气,1.2156,296.15,3.06,117.6471,0.7887,456.4473,2015,4
1969,600295,鄂尔多斯,8.3369,43.1815,3.0581,117.7202,1.1629,309.5709,2015,4
1970,002145,中核钛白,4.9186,73.1916,3.0568,117.7702,1.0327,348.6008,2015,4
1971,603360,百傲化学,4.6677,77.1258,3.056,117.801,1.8642,193.1123,2015,4
1972,603016,新宏泰,4.4099,81.6345,3.0538,117.8859,0.9728,370.0658,2015,4
1973,603336,宏辉果蔬,4.6673,77.1324,3.0517,117.96700000000001,1.589,226.5576,2015,4
1974,600525,长园集团,1.9434,185.2424,3.0514,117.9786,1.0286,349.9903,2015,4
1975,601500,通用股份,14.5052,24.8187,3.0512,117.9864,2.0174,178.4475,2015,4
1976,000657,中钨高新,7.182,50.1253,3.0452,118.2188,1.5482,232.5281,2015,4
1977,000761,本钢板材,59.9244,6.0076,3.0405,118.4016,1.3552,265.6434,2015,4
1978,300589,江龙船艇,9.3648,38.4418,3.0398,118.4288,1.5533,231.7646,2015,4
1979,002737,葵花药业,11.0099,32.6978,3.0388,118.4678,1.3139,273.9935,2015,4
1980,002737,葵花药业,11.0099,32.6978,3.0388,118.4678,1.3139,273.9935,2015,4
1981,600129,太极集团,7.7955,46.1805,3.0386,118.4756,1.1935,301.6339,2015,4
1982,601028,玉龙股份,4.1583,86.5738,3.0376,118.5146,0.8903,404.3581,2015,4
1983,300526,中潜股份,6.7603,53.2521,3.0348,118.624,1.8658,192.9467,2015,4
1984,300515,三德科技,1.4998,240.032,3.0329,118.6983,0.9589,375.4302,2015,4
1985,600756,浪潮软件,3.2655,110.2435,3.0323,118.7218,1.2165,295.9309,2015,4
1986,600710,苏美达,1.4472,248.7562,3.0316,118.7492,0.7266,495.4583,2015,4
1987,000952,广济药业,10.4332,34.5052,3.0302,118.804,1.2306,292.5402,2015,4
1988,600220,江苏阳光,7.7275,46.5869,3.0295,118.8315,1.2056,298.6065,2015,4
1989,002864,盘龙药业,2.8569999999999998,126.0063,3.0291,118.8472,1.0217,352.3539,2015,4
1990,600819,耀皮玻璃,5.6605,63.5986,3.0282,118.8825,0.9262,388.6849,2015,4
1991,002005,德豪润达,3.1756,113.3644,3.0264,118.9532,0.8476,424.7286,2015,4
1992,002272,川润股份,1.6816,214.0818,3.0242,119.0397,0.6864,524.4755,2015,4
1993,600103,青山纸业,9.4522,38.0864,3.0186,119.2606,1.3933,258.3794,2015,4
1994,300559,佳发安泰,2.0233,177.9271,3.0128,119.4902,0.7076,508.76199999999994,2015,4
1995,000949,新乡化纤,17.7565,20.2743,3.0096,119.6172,1.7382,207.1108,2015,4
1996,002581,未名医药,5.0367,71.4754,3.0085,119.661,0.8614,417.9243,2015,4
1997,002396,星网锐捷,4.6977,76.6332,3.0071,119.7167,1.2382,290.7446,2015,4
1998,601789,宁波建工,3.5769,100.6458,3.0064,119.7445,1.3264,271.4113,2015,4
1999,603037,凯众股份,3.7569999999999997,95.8211,3.0002,119.992,0.9105,395.3871,2015,4
2000,601117,中国化学,6.5363,55.077,2.9995,120.02,0.958,375.7829,2015,4
2001,002514,宝馨科技,2.4009,149.9438,2.9974,120.1041,0.9594,375.2345,2015,4
2002,002662,京威股份,5.1715,69.6123,2.9935,120.2606,1.2207,294.9128,2015,4
2003,002813,路畅科技,8.4452,42.6278,2.9933,120.2686,1.5872,226.8145,2015,4
2004,600097,开创国际,26.5075,13.5811,2.9879,120.486,1.2096,297.619,2015,4
2005,603337,杰克股份,10.0297,35.8934,2.9854,120.5869,2.0681,174.0728,2015,4
2006,600117,西宁特钢,8.5768,41.9737,2.9822,120.7162,1.0097,356.5415,2015,4
2007,603050,科林电气,1.7311,207.9603,2.9809,120.7689,0.8555,420.8065,2015,4
2008,002508,老板电器,14.5498,24.7426,2.9797,120.8175,1.2963,277.7135,2015,4
2009,300596,利安隆,5.766,62.435,2.978,120.8865,1.6848,213.6752,2015,4
