,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
255,603659,璞泰来,0.96,255.56,,43.11,0.58,35369.56,256.21,,05-16
256,603200,上海洗霸,1.07,40.03,6.72,17.34,1.5,5926.8,40.03,,05-16
257,603286,日盈电子,0.47,4.44,3.75,13.38,0.31,3106.95,4.48,,05-15
258,002877,智能自控,0.5,6.38,3.52,15.27,0.42,4574.22,7.15,,05-15
259,002876,三利谱,1.21,-10.37,7.5,17.59,-0.03,7281.82,-9.78,,05-12
260,300660,江苏雷利,3.05,74.29,9.26,38.6,2.72,23087.12,74.26,,05-11
261,603042,华脉科技,0.82,76.82,4.51,18.4,1.13,8395.32,76.8,,05-11
262,002875,安奈儿,1.05,10.53,4.86,24.35,0.82,7911.74,11.58,,05-10
263,603326,我乐家居,0.57,21.28,2.53,25.32,1.21,6874.1,21.77,,05-10
264,300658,延江股份,1.19,40.0,3.31,43.0,1.12,8942.01,39.78,,05-09
265,603316,诚邦股份,0.4,90.48,2.79,15.38,0.31,6068.28,92.84,,05-08
266,300659,中孚信息,0.79,-1.25,2.55,35.19,0.32,4835.4,-1.38,,05-08
267,603196,日播时尚,0.42,0.67,2.69,16.49,0.59,7562.46,0.67,,05-08
268,300624,万兴科技,1.17,24.47,4.01,30.99,1.14,7043.16,24.71,,05-05
269,300656,民德电子,1.03,-4.16,3.7,32.32,0.9,4630.94,1.71,,05-05
270,002873,新天药业,1.1,35.85,5.4,22.74,1.19,5706.95,35.85,10派2.3,05-04
271,603855,华荣股份,0.46,-11.54,3.21,14.92,0.73,11321.33,-13.13,,05-03
272,300655,晶瑞股份,0.51,19.29,4.39,12.24,0.4,3389.78,19.3,,05-03
273,603197,保隆科技,1.51,94.59,6.71,24.25,1.97,13235.35,94.6,,05-02
274,300657,弘信电子,0.58,28.89,6.04,10.04,0.77,4536.81,30.03,10派2.3,05-02
275,603383,顶点软件,1.12,-17.04,7.47,16.14,1.51,7048.16,-15.97,,05-02
276,002872,天圣制药,1.41,16.53,11.35,13.26,3.19,22449.7,16.94,,05-02
277,600004,白云机场,1.21,11.01,,13.53,,139385.3,11.23,10派3.7送4.5,04-29
278,002072,凯瑞德,0.08,-113.62,,16.19,,1435.64,-113.56,,04-29
279,600193,*ST创兴,-0.3,-300.0,,-39.86,,-12790.88,-298.72,,04-29
280,600587,新华医疗,0.09,-86.96,,1.07,,3463.63,-87.67,10派0.45,04-29
281,600985,雷鸣科化,0.34,-22.73,,7.86,,9006.22,-22.51,10派1,04-29
282,600322,天房发展,-0.34,-8392.68,,-8.66,,-37676.76,-8482.29,,04-29
283,600745,闻泰科技,0.08,-126.67,,1.12,,4798.15,-132.76,,04-29
284,000592,平潭发展,0.01,-76.14,,0.64,,2027.96,-46.22,,04-29
285,000611,天首发展,0.02,-101.44,,2.67,,512.89,-101.44,,04-29
286,000681,视觉中国,0.31,33.28,,9.81,,21465.92,36.24,,04-29
287,600576,祥源文化,0.17,240.0,,6.14,,10876.51,293.94,,04-29
288,000818,航锦科技,0.16,-8.06,,5.16,,11207.66,-7.75,10派0.47,04-29
289,600647,同达创业,0.58,18.3,,25.32,,8061.22,18.31,10派1.05,04-29
290,000065,北方国际,0.95,15.85,,16.79,,46104.9,110.67,10派0.9,04-29
291,002548,金新农,0.42,27.27,,9.96,,15882.27,53.38,10派1.5,04-29
292,300277,海联讯,0.08,30.0,,5.5,,2612.1,240.05,10派0.5,04-29
293,000410,沈阳机床,-1.83,119.56,,-103.34,,-140332.93,119.95,,04-29
294,002323,雅百特,0.32,-76.88,,33.96,,24090.29,-9.5,10派0.34,04-29
