,code,name_x,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,Unnamed: 0,name_y,eps_2015q1,eps_yoy_2015q1,bvps_2015q1,roe_2015q1,epcf_2015q1,net_profits_2015q1,profits_yoy_2015q1,distrib_2015q1,report_date_2015q1
59,600885,宏发股份,电气设备,湖北,34.38,5.32,5.32,782702.5,441126.06,210176.67,66317.34,1.25,0.314,7.72,5.58,19960205,249783.47,4.7,18.58,0.66,39.61,10.46,8435.0,817,宏发股份,0.22,46.67,,4.3,,11446.02,45.8,,04-29
60,2604,*ST龙力,食品,山东,0.0,4.98,6.0,403583.5,152838.67,139559.92,192383.86,3.21,-0.031,-0.61,-4.64,20110728,-298218.25,-4.97,-10.65,-154.78,23.59,-7.68,63330.0,2559,*ST龙力,0.04,-42.86,,0.63,,1185.72,-28.57,,04-22
61,603042,华脉科技,通信设备,江苏,116.72,0.34,1.39,152907.2,116515.47,16384.56,51407.68,3.71,0.06,6.38,4.4,20170602,26118.48,1.88,12.49,-69.28,21.76,2.61,17546.0,146,华脉科技,0.19,,3.41,5.63,-0.24,1902.82,,,11-13
62,600216,浙江医药,化学制药,浙江,8.68,9.47,9.66,1029831.63,499739.81,337521.59,128817.01,1.33,0.49,8.06,2.08,19991021,438157.09,4.54,61.68,1838.06,58.49,24.21,49000.0,1903,浙江医药,-0.03,-130.0,,-0.44,,-2886.78,-130.91,,04-25
63,600555,海航创新,旅游服务,海南,126.92,9.74,13.04,309848.25,155448.95,5380.93,40356.98,0.31,0.01,1.22,4.36,20010328,-26631.5,-0.2,-80.26,127.74,-104.05,995.85,81017.0,1840,海航创新,-0.01,-0.0,,-0.7,,-1169.94,-21.15,,04-25
64,982,*ST 中绒,纺织,宁夏,0.0,18.05,18.05,1167635.88,506584.59,519061.19,202861.23,1.12,-0.092,0.96,2.57,20000706,-209515.31,-1.16,72.87,-11.39,3.6,-34.13,37101.0,769,*ST中绒,0.0,-96.67,,0.13,,544.62,-90.24,,04-29
65,600634,*ST富控,互联网,上海,22.23,5.76,5.76,612547.0,190906.92,5416.91,98742.25,1.72,0.051,3.51,1.29,19930304,39946.78,0.69,33.82,2.14,86.92,10.83,86475.0,926,*ST富控,0.01,-53.33,4.12,0.33,,783.79,-21.95,,04-29
66,737,*ST南风,日用化工,山西,0.0,5.49,5.49,256139.05,121530.27,87456.27,62588.38,1.14,-0.08199999999999999,-0.54,-6.54,19970428,-155904.77,-2.84,3.94,-12.31,23.85,-8.75,49069.0,2436,*ST南风,-0.1,-2.67,,-15.82,,-5404.54,-2.65,,04-23
67,2427,*ST尤夫,化纤,浙江,57.05,3.85,3.98,775065.25,416360.44,187770.23,59333.01,1.49,0.041,4.57,2.06,20100608,73201.4,1.84,-0.56,-60.3,24.87,1.92,14545.0,839,*ST尤夫,0.11,175.0,,2.41,,2624.75,155.97,,04-29
68,525,红 太 阳,农药化肥,江苏,15.12,5.07,5.81,1270145.13,633547.5,397648.56,293950.5,5.06,0.355,9.63,2.23,19931028,174994.44,3.01,14.64,30.51,32.4,14.7,19003.0,426,红太阳,0.16,-36.9,,2.1,,8052.46,-37.06,,04-30
69,2036,联创电子,元器件,浙江,94.17,3.95,5.58,536098.5,282309.09,150163.19,48131.46,0.86,0.04,3.38,4.43,20040903,76618.61,1.37,33.97,101.32,11.13,2.45,37124.0,938,联创电子,,,,-0.07,,-42.26,-128.79,,04-29
70,2153,石基信息,软件服务,北京,114.53,4.84,10.67,713018.0,433815.25,32254.15,166440.42,1.56,0.063,4.99,5.76,20070813,253640.8,2.38,-3.18,6.58,50.2,12.6,26347.0,1432,石基信息,0.18,5.88,,2.88,,5508.4,5.13,,04-28
71,300377,赢时胜,软件服务,深圳,117.31,4.28,7.42,298791.09,144114.56,51616.01,159653.13,2.15,0.034,3.67,4.38,20140127,37559.85,0.51,84.84,70.86,81.99,17.67,52516.0,2036,赢时胜,-0.07,-61.11,3.78,-1.92,-0.2,-811.71,-16.57,,04-25
72,2129,中环股份,半导体,天津,56.55,26.44,26.44,3327755.0,1167670.75,1068712.0,686275.13,2.6,0.047,4.22,2.53,20070420,157623.09,0.6,68.91,19.44,20.25,4.46,143598.0,2750,中环股份,0.03,-13.3,,0.52,,3402.21,2.9,,04-18
73,2306,*ST云网,酒店餐饮,北京,0.0,7.95,8.0,8809.78,6363.83,388.75,32459.35,0.41,-0.008,0.01,321.95,20091111,-115020.36,-1.44,-21.28,-67.36,45.92,-31.39,50817.0,770,*ST云网,-0.07,-240.0,,,,-5239.77,-245.38,,04-29
74,600066,宇通客车,汽车整车,河南,41.62,22.14,22.14,3558040.75,2692739.75,390483.72,127876.86,0.58,0.133,7.13,3.11,19970508,902548.88,4.08,20.44,-6.81,22.69,6.33,51163.0,2199,宇通客车,0.25,14.91,,3.4,,37352.04,31.94,,04-24
75,2426,胜利精密,元器件,江苏,24.56,20.88,34.42,1990338.25,1171688.38,391379.28,386393.06,1.12,0.045,2.61,1.68,20100608,155919.31,0.45,34.38,7.7,12.0,3.34,69679.0,1676,胜利精密,0.05,-43.02,,1.51,,4546.49,40.36,,04-27
