,code,name,mbrg,nprg,nav,targ,epsg,seg
3050,002280,联络互动,927.7132,-83.2599,33.4465,86.1387,-82.3529,19.0062
3051,601038,一拖股份,-16.9,-83.3051,-1.1748,6.7542,-74.5212,-0.6633
3052,000573,粤宏远A,-49.7276,-83.5679,-0.095,6.4736,-82.0278,-1.4059
3053,000521,美菱电器,34.093,-83.60600000000001,-0.1724,27.6148,-88.5536,-0.8654
3054,300192,科斯伍德,-3.5955,-83.6793,20.5757,110.3093,-86.6667,0.126
3055,000600,建投能源,12.2576,-83.9434,-2.0957,6.5828,-88.4094,-4.946000000000001
3056,002560,通达股份,3.0015,-84.2985,-5.5743,-4.6715,-85.0,-0.4454
3057,300056,三维丝,25.3275,-84.7027,-6.7237,-12.7694,-81.6667,-6.2264
3058,000690,宝新能源,-28.9554,-84.7122,3.0021,10.4399,-84.8485,3.003
3059,000004,国农科技,-51.8178,-85.1642,3.3065,20.172,-78.2051,7.0903
3060,002292,奥飞娱乐,8.3851,-85.6332,0.4193,-0.0271,-82.0513,-0.48700000000000004
3061,600578,京能电力,9.964,-85.9237,8.4256,13.2774,-71.4286,9.2039
3062,600882,广泽股份,91.958,-86.4398,1.4337,22.1662,-86.875,1.4337
3063,600537,亿晶光电,-19.9268,-86.4503,18.595,-6.9691,-87.0968,18.595
3064,600666,奥瑞德,-19.5244,-87.1402,2.3116,-2.7339,-93.4426,2.1341
3065,002477,雏鹰农牧,-6.4361,-87.5698,-5.2454,35.0416,-96.4286,-3.3427
3066,300272,开能环保,10.0322,-87.8396,46.8656,0.8335,-44.8529,19.9015
3067,600783,鲁信创投,16.2044,-88.3365,-5.3711,-0.4239,-88.0,-5.7496
3068,600100,同方股份,-4.3605,-88.7339,0.8588,10.3845,-97.5889,-2.3839
3069,600129,太极集团,12.1528,-88.76299999999999,-4.5964,13.1867,-88.5,-4.414
3070,600647,同达创业,-68.6684,-89.0643,-11.4653,-8.998,-86.17299999999999,-11.8366
3071,002113,天润数娱,56.9906,-90.0451,181.5461,184.8688,-90.5405,181.5461
3072,000882,华联股份,7.7633,-90.27,26.4217,29.2261,-85.7965,24.7457
3073,600651,飞乐音响,-24.1449,-90.6058,-6.3028,31.3236,-84.507,-6.1376
3074,600730,中国高科,399.6405,-90.6275,3.3922,-19.8443,-91.6667,3.7438
3075,002290,中科新材,36.3008,-91.5211,0.2318,65.5614,-92.3077,0.2318
3076,600177,雅戈尔,-33.9407,-92.029,6.7146,4.7049,-94.70200000000001,7.3239
3077,000679,大连友谊,-4.3622,-93.2277,-5.6897,-12.937999999999999,-90.2452,-2.8813
3078,000543,皖能电力,14.802,-93.4913,-7.3556,-1.986,-86.0,-8.0048
3079,600166,福田汽车,11.128,-94.3512,-0.1233,15.777000000000001,-75.0,0.2329
3080,001896,豫能控股,48.1035,-94.5995,48.9893,44.7921,-91.2574,46.4998
3081,002161,远望谷,4.4354,-95.5621,2.0578,6.067,-95.8,2.4238
3082,300189,神农基因,-61.0633,-95.5889,-1.5608,-23.0473,-196.3855,-1.4105
3083,000899,赣能股份,-2.3107,-95.6508,-6.2933,-3.2799,-95.775,-6.2933
3084,002629,仁智股份,952.6084,-97.0844,0.2829,5.2512,-92.5,0.2402
3085,601218,吉鑫科技,-13.36,-98.2751,0.1341,7.9342,-94.848,0.2385
3086,600898,国美通讯,91.1687,-99.0063,43.8706,37.5514,-23.0889,22.4428
3087,000007,全新好,2.0165,-99.0253,-10.7048,-13.9379,-85.9384,4.4413
3088,600725,ST云维,-73.848,-99.4949,187.2563,52.8452,-99.7339,187.2563
3089,000801,四川九洲,-19.168,-99.5906,-0.9038,-2.2133,-96.1889,-0.6127
3090,000037,深南电A,29.9651,-99.9702,0.0186,-33.9138,-98.6175,0.8187
3091,300458,全志科技,-4.0804,-101.2065,-2.2567,-5.1441,-94.5652,-1.4068
3092,600302,标准股份,23.243000000000002,-101.6675,-0.0085,0.9591,-110.6221,-0.4405
3093,000503,海虹控股,-15.1451,-102.2875,-1.4339,-2.9292,-40.3846,-1.1912
3094,600463,空港股份,126.359,-108.5816,-0.9345,-0.4347,-44.1365,0.2667
3095,002400,省广集团,3.483,-114.5308,-2.767,-4.1261,-122.0,-3.4182
3096,002785,万里石,5.7051,-116.9944,-1.0497,4.9607,-125.0,-1.4806
3097,002591,恒大高新,75.5911,-119.2576,73.3761,63.3161,-4.2435,77.7838
3098,600645,中源协和,3.94,-120.7645,-6.7005,-0.1217,-150.0,-4.9637
3099,600617,国新能源,38.2651,-121.829,-0.2553,19.2769,-95.5328,0.067
3100,002505,大康农业,98.9019,-122.8291,9.4112,-4.7194,-69.0647,-1.1451
3101,300218,安利股份,6.2693,-123.2211,-1.9841,1.5175,-128.5502,-3.4251
3102,300234,开尔新材,-2.5471,-123.4353,-0.3677,2.7855,-120.0,-0.8768
3103,000043,中航地产,-6.7882,-125.2912,-2.7341,-12.0511,-6.6942,2.3476
3104,600983,惠而浦,-8.1777,-126.0493,-10.4254,-8.8024,-126.5306,-10.4254
3105,002333,罗普斯金,5.66,-128.7727,-5.3062,-7.5333,-127.6786,-5.7175
3106,000966,长源电力,1.6054,-130.6659,-6.4578,1.869,-130.4892,-6.7258
3107,300167,迪威迅,25.025,-134.0144,-6.5323,-5.083,-119.9183,-2.4756
3108,002780,三夫户外,-0.5263,-137.3046,61.988,70.1188,-125.0,61.9623
3109,300344,太空智造,41.3036,-146.5702,-3.1523,-10.9472,-194.7317,-5.394
3110,002646,青青稞酒,-8.269,-146.8112,-6.7649,-15.7834,-143.5769,-6.7933
3111,300163,先锋新材,-9.611,-149.4945,-8.2091,-16.8496,-142.1429,-6.893
3112,000917,电广传媒,16.7649,-149.5351,-5.2847,5.4670000000000005,-237.5,-9.1352
3113,002458,益生股份,-59.2582,-155.9599,-16.9017,10.7034,-154.1176,-17.6014
3114,600318,新力金融,-21.9481,-160.2852,-8.3069,2.6519999999999997,-195.5224,-22.4034
3115,002504,弘高创意,-52.8364,-161.9691,-12.6473,-17.852999999999998,-160.8696,-13.4493
3116,000626,远大控股,34.023,-167.27,-16.7517,-26.9852,-142.6667,-9.9123
3117,000019,深深宝A,15.5017,-167.9489,-8.2483,-9.1772,-150.9116,-8.2235
3118,600532,宏达矿业,102.2157,-168.8866,-4.1672,11.4412,-168.1818,-4.1672
3119,600792,云煤能源,31.0433,-170.4826,-1.8178,-17.8566,-200.0,-1.9145
3120,002140,东华科技,73.8723,-173.9336,-3.5662,5.3936,-177.7778,-4.2276
3121,300062,中能电气,-19.426,-175.2784,-6.2957,16.4961,-145.09799999999998,-7.9772
3122,300022,吉峰农机,-13.1496,-181.5359,-15.0848,-8.668,-480.2589,-19.2421
3123,002342,巨力索具,3.7235,-183.1743,-0.9285,0.9261,-190.0,-0.9285
