,code,name,currentratio,quickratio,cashratio,icratio,sheqratio,adratio
132,300245,天玑科技,7.377000000000001,7.162000000000001,605.008,-993.5458,89.8848,10.1152
133,300559,佳发安泰,7.5762,7.2777,612.7299,-6267.1971,89.8633,10.1367
134,002413,雷科防务,5.4291,4.4372,218.662,-52175.9624,89.8525,10.1475
135,603976,正川股份,6.9211,5.8812,416.3997,-4765.5415,89.8479,10.1521
136,300018,中元股份,5.8811,5.4139,357.4951,-799.8464,89.7983,10.2017
137,002515,金字火腿,6.0485,5.1678,206.1152,11766.171,89.7936,10.2064
138,300717,华信新材,7.96,7.2863,174.7925,2215.3418,89.7468,10.2532
139,603200,上海洗霸,9.1653,8.665,357.5473,-1451.2167,89.7438,10.2562
140,300314,戴维医疗,6.1614,5.2418,203.5427,-7295.5273,89.7361,10.2639
141,002553,南方轴承,5.3984,4.3948,114.3974,5109.6048,89.7264,10.2736
142,002294,信立泰,6.4847,5.6509,144.636,-8221.6066,89.71700000000001,10.283
143,603020,爱普股份,7.8853,6.4672,458.7173,-572.8879,89.7123,10.2877
144,300623,捷捷微电,7.2803,6.6749,333.1848,-129509.5669,89.665,10.335
145,002322,理工环科,4.0059,3.2321,143.3417,-5745.4301,89.6534,10.3466
146,002759,天际股份,2.0611,1.6306,18.5556,1369.9232,89.6127,10.3873
147,002577,雷柏科技,6.7274,5.9426,98.1229,-40.5031,89.6118,10.3882
148,300066,三川智慧,7.1283,6.2382,433.4922,-1135.5844,89.5891,10.4109
149,300306,远方信息,4.574,3.7746,177.8417,-1719.5091,89.5704,10.4296
150,002417,深南股份,9.2265,9.2265,419.3108,294.6933,89.5519,10.4481
151,300148,天舟文化,2.9945,2.9168,207.3404,-1078.6562,89.5399,10.4601
152,002888,惠威科技,6.817,4.9985,474.9969,-2107.8438,89.5053,10.4947
153,603866,桃李面包,5.2263,4.952,380.3223,-15268.5814,89.4891,10.5109
154,002643,万润股份,4.8744,3.2594,146.0876,2463.7639,89.4183,10.5817
155,600539,*ST狮头,8.4235,8.1255,749.3597,862.8034,89.3358,10.6642
156,603580,艾艾精工,8.7099,7.3381,618.4852,5431.9808,89.3197,10.6803
157,300411,金盾股份,4.1525,3.7562,69.3926,3503.8872,89.3137,10.6863
158,600880,博瑞传播,3.0897,3.0797,170.5148,-239.6399,89.3112,10.6888
159,300501,海顺新材,6.8032,5.8885,175.66099999999997,5744.3934,89.2678,10.7322
160,002901,大博医疗,9.4087,7.6931,435.38699999999994,10978.0338,89.2101,10.7899
161,002338,奥普光电,10.337,6.6656,164.1747,-6384.5888,89.2082,10.7918
162,300668,杰恩设计,7.0659,7.0659,106.9306,22219.8547,89.1292,10.8708
163,300480,光力科技,7.7533,6.8443,334.9051,-2099.6231,89.1061,10.8939
164,603811,诚意药业,6.5915,5.601,103.9901,22652.9745,89.0915,10.9085
165,002235,安妮股份,4.5473,4.4196,114.244,91062.7811,89.0769,10.9231
166,603309,维力医疗,5.571000000000001,4.8453,129.9013,1030.1927,89.0539,10.9461
167,603306,华懋科技,7.5123,7.107,351.5419,-2424.0509,89.016,10.984000000000002
168,300403,地尔汉宇,6.4701,5.638,359.6629,-1066.8731,89.0016,10.9984
169,300459,金科文化,2.3203,2.24,134.0042,3888.9505,88.9524,11.0476
170,300194,福安药业,3.2477,2.3379,77.7981,-64408.8344,88.9474,11.0526
171,603027,千禾味业,5.2745,3.0958,73.2304,14416.2029,88.8691,11.1309
172,300570,太辰光,8.1468,7.3809,384.5971,964.9245,88.8677,11.1323
173,300352,北信源,7.7494,7.4893,391.5706,-7084.6924,88.8608,11.1392
174,300689,澄天伟业,6.2829999999999995,5.9438,253.6014,3178.4185,88.7859,11.2141
175,300291,华录百纳,6.0649,5.8541,94.0097,-2092.5458,88.7792,11.2208
176,002674,兴业科技,6.7857,4.6001,313.9601,-333.6537,88.7722,11.2278
177,002691,冀凯股份,8.7158,5.096,74.4395,4437.4399,88.7705,11.2295
178,300561,汇金科技,9.2371,8.5492,652.1281,-16460.765,88.7678,11.2322
179,300725,药石科技,7.9061,5.7609,289.0305,2298.292,88.7554,11.2446
180,002364,中恒电气,7.2708,6.319,118.0883,-196.7993,88.7251,11.2749
