code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
300081,恒信东方,通信设备,河北,12.03,3.16,5.31,262430.88,148799.69,3715.6,152016.73,2.86,0.28300000000000003,4.53,3.0,20100520,34128.06,0.64,96.75,2012.16,33.29,97.2,22949.0
300296,利亚德,半导体,北京,32.95,15.59,25.43,1194835.5,734131.13,82750.93,273079.03,1.07,0.12,2.8,5.64,20120315,259472.41,1.02,61.3,76.55,36.72,16.74,22851.0
600007,中国国贸,园区开发,北京,18.36,10.07,10.07,1131804.38,104333.96,206095.77,187251.86,1.86,0.2,6.62,2.22,19990312,328575.16,3.26,29.12,27.11,52.06,25.94,14476.0
603103,横店影视,影视音像,浙江,20.99,0.53,4.53,316212.88,152183.31,82440.38,75497.65,1.67,0.41600000000000004,4.77,7.33,20171012,86526.5,1.91,0.0,0.0,33.01,20.26,26372.0
300539,横河模具,塑料,浙江,166.5,0.61,2.09,71989.68,34211.03,21864.35,1255.25,0.06,0.016,1.82,6.0,20160830,14528.05,0.7,10.56,-65.87,22.74,3.13,12177.0
300597,吉大通信,通信设备,吉林,411.14,0.73,2.4,94879.55,90333.81,2932.54,21331.72,0.89,0.012,3.03,6.36,20170123,24636.11,1.03,-1.73,4.74,20.28,4.16,28526.0
600428,中远海特,水运,广东,125.47,16.9,21.47,2041700.75,255032.5,1570878.88,427764.0,1.99,0.009000000000000001,4.38,1.05,20020418,256583.02,1.2,1.23,77.95,13.57,1.21,117829.0
300568,星源材质,化工原料,深圳,20.89,1.28,1.92,285259.03,155422.84,84227.5,73676.43,3.84,0.466,7.06,5.51,20161201,36691.85,1.91,43.24,158.13,53.02,52.09,15911.0
300507,苏奥传感,汽车配件,江苏,30.35,0.57,1.2,105018.9,81938.05,11798.44,30425.4,2.54,0.253,7.49,4.1,20160429,42996.1,3.58,6.71,4.99,31.94,18.36,14413.0
002908,德生科技,元器件,广东,160.63,0.33,1.33,77241.68,74482.31,1831.93,36752.44,2.76,0.057999999999999996,4.74,7.88,20171020,11394.46,0.85,0.0,0.0,39.91,10.03,25704.0
002896,中大力德,机械基件,浙江,72.72,0.2,0.8,79958.13,46085.62,24906.48,32320.94,4.04,0.158,6.81,6.77,20170829,12825.95,1.6,0.0,0.0,32.17,11.4,11289.0
002798,帝欧家居,家居用品,四川,47.05,0.55,2.27,457675.66,257739.59,74720.0,247863.55,10.93,0.195,12.67,2.89,20160525,30270.63,1.34,935.55,2214.83,33.01,5.84,8330.0
603773,沃格光电,元器件,江西,40.53,0.24,0.95,102518.8,49531.05,35872.23,24988.34,2.64,0.5870000000000001,11.12,8.57,20180417,43288.15,4.58,0.0,0.0,55.54,33.6,26149.0
002787,华源控股,广告包装,江苏,62.43,1.04,2.88,138055.75,78573.96,33207.62,38914.05,1.35,0.042,3.54,2.98,20151231,35492.59,1.23,-4.73,-45.1,20.85,4.97,19920.0
002639,雪人股份,专用机械,福建,603.45,4.43,6.74,352674.59,146643.09,85523.07,133500.56,1.98,0.003,3.32,2.16,20111205,15461.62,0.23,26.17,52.48,27.53,0.88,43279.0
000886,海南高速,路桥,海南,44.67,9.65,9.89,328619.0,230452.05,11225.35,94393.02,0.95,0.035,2.72,2.28,19980123,38298.4,0.39,-42.33,-37.91,59.69,29.67,104000.0
002912,中新赛克,软件服务,深圳,898.46,0.27,1.07,158166.69,137521.05,5404.96,57853.13,5.42,0.027000000000000003,10.7,9.2,20171121,47640.85,4.46,0.0,0.0,72.77,3.25,11367.0
300604,长川科技,专用机械,浙江,183.81,0.27,0.78,57017.4,49299.8,581.16,28100.72,3.6,0.09699999999999999,5.55,12.83,20170417,10743.25,1.38,122.46,80.4,62.89,16.59,8062.0
002368,太极股份,软件服务,北京,177.51,4.0,4.15,765766.13,563692.25,65381.5,97977.28,2.36,0.044000000000000004,6.35,4.9,20100312,114864.27,2.77,10.21,8.06,18.04,1.28,20075.0
600278,东方创业,商贸代理,上海,27.09,5.22,5.22,809394.06,476305.75,92595.86,96109.74,1.84,0.09699999999999999,7.79,1.35,20000712,124624.3,2.39,27.15,16.99,4.42,1.1,29100.0
603260,合盛硅业,化工原料,浙江,21.01,0.7,6.7,1514759.0,522197.59,500081.06,226936.52,3.39,0.94,9.02,8.76,20171030,303294.59,4.53,55.25,132.26,43.69,28.06,32730.0
002931,锋龙股份,汽车配件,浙江,154.03,0.22,0.89,57617.36,43799.69,10701.7,26123.13,2.94,0.15,5.18,13.37,20180403,10270.42,1.16,0.0,0.0,31.79,12.1,46005.0
300630,普利制药,化学制药,海南,101.98,0.66,1.22,89005.93,33355.44,12462.45,38739.26,3.17,0.255,6.15,16.89,20170328,21140.1,1.73,94.8,200.38,82.44,33.1,6214.0
600487,亨通光电,通信设备,江苏,25.47,12.41,13.6,2861956.25,1960772.0,424240.69,320274.16,2.36,0.354,7.75,4.66,20030822,581441.25,4.28,38.24,73.48,21.12,7.61,107871.0
002635,安洁科技,电脑设备,江苏,35.58,3.2,7.53,870673.38,322557.47,160682.02,480200.59,6.38,0.14,9.32,2.1,20111125,138757.48,1.84,44.1,15.6,34.63,16.79,47654.0
600096,云天化,农药化肥,云南,46.35,11.22,13.21,6588968.0,3422675.25,2261141.5,513202.69,3.88,0.039,2.81,2.56,19970709,-312505.06,-2.36,-37.37,70.38,17.16,0.51,49671.0
600117,西宁特钢,特种钢,青海,109.17,7.41,10.45,2444765.75,688503.56,1015957.69,204237.86,1.95,0.011000000000000001,3.01,1.56,19971015,-13411.85,-0.13,42.53,3.88,16.54,0.68,73724.0
603506,南都物业,房产服务,浙江,44.45,0.2,0.79,112945.32,99503.17,2704.84,36731.62,4.63,0.29,7.46,6.37,20180201,12926.46,1.63,0.0,0.0,23.42,9.05,15712.0
