,code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
2756,002474,榕基软件,-0.1767,-0.0233,-3.2434,-0.0751,-8.3446
2757,600882,广泽股份,-0.177,-0.0173,,-0.0466,-5.4501
2758,000005,世纪星源,-0.1772,-0.0144,-0.2562,-0.0339,-3.4009
2759,002340,格林美,-0.1776,-0.0324,-3.1822,-0.053,-7.3066
2760,300442,普丽盛,-0.1777,-0.0332,-40.2972,-0.1402,-14.0484
2761,002013,中航机电,-0.17800000000000002,-0.0303,-4.7059,-0.05,-6.0494
2762,002689,远大智能,-0.17800000000000002,-0.0429,-3.2243,-0.0952,-11.3121
2763,002090,金智科技,-0.1783,-0.0384,-1.9561,-0.0617,-11.020999999999999
2764,603018,中设集团,-0.1788,-0.0372,-1.4551,-0.0733,-7.3941
2765,600678,四川金顶,-0.1789,-0.0185,,-0.0192,-8.4249
2766,002765,蓝黛传动,-0.1802,-0.0609,-1.649,-0.1788,-23.9475
2767,002451,摩恩电气,-0.1805,-0.0235,-7.6515,-0.0368,-4.6505
2768,002601,龙蟒佰利,-0.1822,-0.0354,-3.0995,-0.0561,-6.5478
2769,600119,长江投资,-0.1822,-0.0508,-1.4968,-0.0984,-11.4419
2770,601949,中国出版,-0.1832,,-3.6697,,
2771,300312,邦讯技术,-0.1834,-0.0202,,-0.0406,-4.2656
2772,002018,*ST华信,-0.1838,-0.1435,-7.0182,-0.2695,-27.2172
2773,000788,北大医药,-0.1856,-0.0686,-13.9283,-0.1324,-13.2433
2774,000727,华东科技,-0.1862,-0.0025,,-0.006,-2.2993
2775,300209,天泽信息,-0.1863,-0.0208,-2.2978,-0.134,-13.7048
2776,000617,中油资本,-0.1867,-0.0211,,-0.026000000000000002,-2.7997
2777,300208,恒顺众昇,-0.1873,-0.0501,-0.7047,-0.1294,-13.8395
2778,600038,中直股份,-0.1877,-0.0554,-5.9534,-0.0853,-9.0819
2779,002194,*ST凡谷,-0.1877,-0.0653,-8.3391,-0.304,-30.7756
2780,000670,盈方微,-0.1879,-0.0722,-2.5197,-0.5458,-60.1198
2781,300011,鼎汉技术,-0.1881,-0.0222,-8.5345,-0.0669,-9.7149
2782,300072,三聚环保,-0.1886,-0.07400000000000001,-1.3855,-0.11900000000000001,-17.4201
2783,002047,宝鹰股份,-0.18899999999999997,-0.07400000000000001,-3.0395,-0.1126,-11.2643
2784,600105,永鼎股份,-0.1894,-0.0565,-1.4446,-0.1752,-18.3602
