,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
2315,000501,鄂武商A,0.96,11.63,,10.62,,51529.66,18.22,,08-20
2316,601069,西部黄金,0.1,355.36,,3.98,,6487.32,371.1,,08-20
2317,000970,中科三环,0.14,12.9,,3.86,,15264.03,15.71,,08-20
2318,000582,北部湾港,0.28,-4.15,,4.36,,26447.48,7.51,,08-20
2319,002700,新疆浩源,0.09,-30.77,,4.62,,3949.02,-29.16,,08-20
2320,600784,鲁银投资,0.12,11600.0,,4.53,,6675.9,8204.15,,08-20
2321,600055,万东医疗,0.08,-9.68,,2.19,,3226.98,60.39,,08-20
2322,600180,瑞茂通,0.18,29.28,,4.36,,18379.82,49.61,,08-20
2323,002234,民和股份,0.51,-213.33,,16.2,,15453.49,-214.74,,08-20
2324,000931,中关村,-0.02,-109.29,,-1.69,,-1390.72,-109.29,,08-20
2325,603369,今世缘,0.42,-54.64,,12.45,,53097.84,13.39,,08-20
2326,000589,黔轮胎A,-0.07,-181.25,,-1.46,,-5061.71,-177.26,,08-20
2327,002347,泰尔股份,0.05,27.86,,0.85,,1031.22,27.82,10转10,08-20
2328,002668,奥马电器,1.03,30.38,,9.36,,17086.15,30.06,,08-20
2329,300104,乐视网,0.15,9.01,2.58,6.74,0.15,28438.39,11.64,,08-20
2330,300190,维尔利,0.13,0.0,6.71,2.59,-0.32,4639.24,1.84,,08-20
2331,600862,中航高科,0.01,-114.29,,0.49,,2061.2,-145.8,,08-20
2332,600129,太极集团,2.26,435.86,,72.62,,96442.98,435.83,,08-20
2333,000151,中成股份,0.18,-22.8,,5.58,,5444.18,-22.78,,08-20
2334,002255,海陆重工,0.05,-54.36,,1.26,,2863.5,-44.97,,08-20
2335,600222,太龙药业,0.0,0.0,,0.12,,182.32,-1.47,,08-20
2336,000513,丽珠集团,1.04,-8.77,,8.95,,40906.18,20.01,,08-20
2337,300350,华鹏飞,0.12,-33.33,5.9,1.98,0.47,3455.4,127.73,,08-20
2338,002068,黑猫股份,-0.09,-228.57,,-2.95,,-5711.09,-234.89,,08-20
2339,600448,华纺股份,0.01,-50.0,,0.71,,600.26,-37.19,,08-20
2340,600067,冠城大通,0.02,-91.67,,0.49,,3424.41,-88.9,,08-20
2341,600136,当代明诚,0.04,-73.33,,0.99,,2019.95,-9.08,,08-20
2342,002502,骅威文化,0.21,200.0,,2.83,,8875.77,263.72,10转10,08-20
2343,600157,永泰能源,0.02,-54.86,,1.16,,23773.19,-45.93,10派0.4,08-20
2344,000069,华侨城A,0.19,-1.03,,4.1,,157976.3,11.69,,08-20
2345,000886,海南高速,0.03,-28.26,,1.28,,3235.99,-29.51,,08-20
2346,000501,鄂武商A,0.96,11.63,,10.62,,51529.66,18.22,,08-20
2347,601069,西部黄金,0.1,355.36,,3.98,,6487.32,371.1,,08-20
2348,000970,中科三环,0.14,12.9,,3.86,,15264.03,15.71,,08-20
2349,000582,北部湾港,0.28,-4.15,,4.36,,26447.48,7.51,,08-20
2350,002053,云南能投,0.33,178.24,,4.71,,9244.29,317.42,10转10,08-20
2351,002374,丽鹏股份,0.07,-53.33,,2.56,,5643.66,11.36,,08-20
2352,002700,新疆浩源,0.09,-30.77,,4.62,,3949.02,-29.16,,08-20
2353,600784,鲁银投资,0.12,11600.0,,4.53,,6675.9,8204.15,,08-20
2354,600055,万东医疗,0.08,-9.68,,2.19,,3226.98,60.39,,08-20
2355,600180,瑞茂通,0.18,29.28,,4.36,,18379.82,49.61,,08-20
2356,002234,民和股份,0.51,-213.33,,16.2,,15453.49,-214.74,,08-20
2357,000931,中关村,-0.02,-109.29,,-1.69,,-1390.72,-109.29,,08-20
2358,603369,今世缘,0.42,-54.64,,12.45,,53097.84,13.39,,08-20
2359,000589,黔轮胎A,-0.07,-181.25,,-1.46,,-5061.71,-177.26,,08-20
